Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,01/Apr/2022,April,"$5,320 ",180
Van Tuxwell,India,85% Dark Bars,08/Jan/2022,January,"$7,896 ",94
Gigi Bohling,India,Peanut Butter Cubes,07/Jul/2022,July,"$4,501 ",91
Jan Morforth,Australia,Peanut Butter Cubes,27/Apr/2022,April,"$12,726 ",342
Jehu Rudeforth,UK,Peanut Butter Cubes,24/Feb/2022,February,"$13,685 ",184
Van Tuxwell,India,Smooth Sliky Salty,06/Jun/2022,June,"$5,376 ",38
Oby Sorrel,UK,99% Dark & Pure,25/Jan/2022,January,"$13,685 ",176
Gunar Cockshoot,Australia,After Nines,24/Mar/2022,March,"$3,080 ",73
Jehu Rudeforth,New Zealand,50% Dark Bites,20/Apr/2022,April,"$3,990 ",59
Brien Boise,Australia,99% Dark & Pure,07/Apr/2022,April,"$2,835 ",102
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/Jan/2022,January,"$4,704 ",62
Barr Faughny,USA,Orange Choco,03/Oct/2022,October,"$3,703 ",11
Mallorie Waber,Canada,Eclairs,13/Jan/2022,January,"$1,442 ",286
Karlen McCaffrey,New Zealand,Drinking Coco,28/Jul/2022,July,$168 ,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,08/Mar/2022,March,"$8,379 ",173
Beverie Moffet,Australia,Organic Choco Syrup,26/Jan/2022,January,"$6,790 ",356
Van Tuxwell,Canada,Organic Choco Syrup,14/Feb/2022,February,"$4,067 ",42
Roddy Speechley,USA,Smooth Sliky Salty,04/May/2022,May,"$3,017 ",140
Beverie Moffet,Canada,Milk Bars,16/Feb/2022,February,"$8,799 ",250
Curtice Advani,UK,85% Dark Bars,06/Aug/2022,August,"$1,085 ",172
Brien Boise,Australia,Eclairs,27/Jun/2022,June,"$6,888 ",88
Gunar Cockshoot,USA,Spicy Special Slims,17/Feb/2022,February,"$1,267 ",157
Marney O'Breen,USA,After Nines,30/May/2022,May,"$4,753 ",163
Husein Augar,UK,Drinking Coco,14/Mar/2022,March,"$3,003 ",113
Kaine Padly,Australia,Eclairs,28/Feb/2022,February,"$7,672 ",115
Karlen McCaffrey,India,Fruit & Nut Bars,26/Jan/2022,January,$168 ,321
Roddy Speechley,Canada,Spicy Special Slims,02/Sep/2022,September,"$1,652 ",186
Husein Augar,USA,Eclairs,07/Jul/2022,July,"$4,025 ",112
Dennison Crosswaite,New Zealand,White Choc,07/May/2022,May,"$9,492 ",151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/Jun/2022,June,"$5,061 ",301
Van Tuxwell,New Zealand,85% Dark Bars,24/May/2022,May,"$1,722 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,29/Jun/2022,June,"$12,446 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,05/Nov/2022,November,"$4,284 ",94
Karlen McCaffrey,UK,Almond Choco,30/Jun/2022,June,"$6,839 ",133
Andria Kimpton,Canada,After Nines,05/Nov/2022,November,"$2,163 ",70
Roddy Speechley,USA,Manuka Honey Choco,22/Jul/2022,July,"$9,583 ",315
Andria Kimpton,UK,50% Dark Bites,24/Aug/2022,August,"$2,653 ",314
Kelci Walkden,New Zealand,After Nines,07/Jul/2022,July,$147 ,72
Camilla Castle,Australia,85% Dark Bars,19/May/2022,May,"$3,654 ",14
Karlen McCaffrey,India,Manuka Honey Choco,07/Apr/2022,April,"$2,443 ",581
Kelci Walkden,USA,After Nines,06/Feb/2022,February,$938 ,16
Karlen McCaffrey,USA,Raspberry Choco,15/Apr/2022,April,"$14,749 ",354
Mallorie Waber,Canada,Choco Coated Almonds,07/Nov/2022,November,"$4,781 ",241
Andria Kimpton,India,Spicy Special Slims,23/Feb/2022,February,"$6,307 ",142
Madelene Upcott,Canada,Almond Choco,22/Aug/2022,August,"$7,602 ",102
Kaine Padly,USA,Peanut Butter Cubes,16/Feb/2022,February,"$6,790 ",188
Van Tuxwell,USA,50% Dark Bites,13/Jan/2022,January,"$9,737 ",160
Curtice Advani,Australia,Milk Bars,14/Feb/2022,February,"$6,979 ",18
Roddy Speechley,India,Eclairs,06/Oct/2022,October,"$4,382 ",303
Curtice Advani,India,Fruit & Nut Bars,07/Jul/2022,July,"$5,243 ",176
Curtice Advani,Canada,Almond Choco,24/Mar/2022,March,"$4,865 ",70
Brien Boise,Australia,Fruit & Nut Bars,06/Jun/2022,June,"$8,575 ",23
Dotty Strutley,Australia,Drinking Coco,19/Jul/2022,July,$91 ,135
Beverie Moffet,USA,Raspberry Choco,19/Apr/2022,April,"$14,798 ",83
Marney O'Breen,India,85% Dark Bars,19/Jul/2022,July,"$2,205 ",179
Jehu Rudeforth,Canada,Drinking Coco,15/Jul/2022,July,$441 ,24
Ches Bonnell,New Zealand,Spicy Special Slims,14/Feb/2022,February,"$3,556 ",18
Brien Boise,Canada,99% Dark & Pure,18/May/2022,May,"$16,793 ",416
Barr Faughny,Australia,Fruit & Nut Bars,30/Jun/2022,June,"$15,421 ",55
Andria Kimpton,Australia,50% Dark Bites,06/Feb/2022,February,"$4,438 ",227
Andria Kimpton,Australia,Drinking Coco,28/Jun/2022,June,"$1,603 ",48
Marney O'Breen,Australia,Organic Choco Syrup,16/May/2022,May,$273 ,174
Kelci Walkden,Canada,Baker's Choco Chips,26/May/2022,May,"$3,073 ",302
Karlen McCaffrey,India,Almond Choco,07/Jun/2022,June,"$6,090 ",149
Oby Sorrel,India,99% Dark & Pure,27/May/2022,May,"$10,255 ",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/Apr/2022,April,"$2,030 ",11
Van Tuxwell,Australia,Organic Choco Syrup,08/Oct/2022,October,"$19,453 ",14
Camilla Castle,India,50% Dark Bites,07/Apr/2022,April,"$9,275 ",411
Oby Sorrel,India,Organic Choco Syrup,07/Aug/2022,August,"$6,181 ",56
Jan Morforth,USA,Peanut Butter Cubes,22/Jul/2022,July,"$9,037 ",102
Gigi Bohling,USA,Choco Coated Almonds,03/Feb/2022,February,"$12,313 ",103
Gigi Bohling,UK,Almond Choco,01/Oct/2022,October,"$5,642 ",9
Jehu Rudeforth,New Zealand,White Choc,03/Nov/2022,November,"$2,800 ",241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/Jun/2022,June,$959 ,265
Van Tuxwell,UK,Organic Choco Syrup,26/Aug/2022,August,"$2,002 ",214
Roddy Speechley,Canada,Milk Bars,13/Jul/2022,July,$609 ,32
Camilla Castle,USA,Spicy Special Slims,02/Nov/2022,November,"$1,274 ",244
Marney O'Breen,USA,Orange Choco,27/Jan/2022,January,"$7,595 ",181
Van Tuxwell,UK,99% Dark & Pure,31/Jan/2022,January,"$4,725 ",137
Camilla Castle,USA,White Choc,18/Aug/2022,August,"$9,681 ",24
Andria Kimpton,USA,Raspberry Choco,30/Jun/2022,June,"$14,504 ",21
Dotty Strutley,Australia,Fruit & Nut Bars,23/Aug/2022,August,$280 ,311
Brien Boise,New Zealand,Mint Chip Choco,08/Jan/2022,January,$63 ,181
Roddy Speechley,New Zealand,After Nines,25/May/2022,May,"$8,001 ",10
Roddy Speechley,Canada,Organic Choco Syrup,01/Oct/2022,October,"$4,032 ",82
Dennison Crosswaite,Australia,70% Dark Bites,02/Jul/2022,July,"$5,859 ",108
Karlen McCaffrey,USA,Orange Choco,05/Dec/2022,December,"$11,095 ",401
Madelene Upcott,Australia,Spicy Special Slims,03/Jul/2022,July,"$7,182 ",408
Dennison Crosswaite,Australia,85% Dark Bars,04/May/2022,May,"$6,881 ",420
Andria Kimpton,Canada,Caramel Stuffed Bars,01/Mar/2022,March,"$7,154 ",348
Dennison Crosswaite,UK,Eclairs,24/Mar/2022,March,"$6,188 ",270
Madelene Upcott,India,Raspberry Choco,07/Jul/2022,July,"$4,221 ",9
Van Tuxwell,USA,After Nines,26/Jul/2022,July,$630 ,264
Wilone O'Kielt,Australia,Organic Choco Syrup,07/Jul/2022,July,"$1,743 ",111
Karlen McCaffrey,Canada,50% Dark Bites,15/Jul/2022,July,"$2,919 ",65
Roddy Speechley,New Zealand,Orange Choco,04/Jan/2022,January,$49 ,97
Beverie Moffet,Australia,Eclairs,20/Jun/2022,June,"$1,827 ",6
Kelci Walkden,UK,Fruit & Nut Bars,29/Jun/2022,June,"$13,006 ",482
Marney O'Breen,USA,50% Dark Bites,15/Jun/2022,June,"$1,064 ",106
Husein Augar,USA,After Nines,04/Aug/2022,August,"$11,571 ",180
Dennison Crosswaite,Australia,Raspberry Choco,14/Mar/2022,March,"$5,740 ",31
Andria Kimpton,USA,Fruit & Nut Bars,15/Jul/2022,July,"$1,456 ",359
Kelci Walkden,India,Eclairs,19/Apr/2022,April,"$5,334 ",80
Marney O'Breen,USA,99% Dark & Pure,28/Mar/2022,March,"$4,151 ",296
Brien Boise,Canada,Spicy Special Slims,03/Apr/2022,April,"$8,106 ",101
Karlen McCaffrey,New Zealand,70% Dark Bites,08/Feb/2022,February,$126 ,40
Husein Augar,UK,Spicy Special Slims,25/Aug/2022,August,"$4,697 ",42
Marney O'Breen,USA,Almond Choco,25/Feb/2022,February,"$7,798 ",167
Kelci Walkden,India,Orange Choco,06/Jul/2022,July,"$9,408 ",138
Jan Morforth,India,Spicy Special Slims,04/Dec/2022,December,"$1,939 ",520
Ches Bonnell,India,Spicy Special Slims,07/Jun/2022,June,"$10,906 ",94
Kelci Walkden,UK,Smooth Sliky Salty,19/Jan/2022,January,"$5,929 ",175
Madelene Upcott,Australia,Fruit & Nut Bars,01/May/2022,May,"$5,579 ",92
Madelene Upcott,Canada,70% Dark Bites,24/Jan/2022,January,"$10,927 ",141
Wilone O'Kielt,Australia,Drinking Coco,04/Jun/2022,June,$623 ,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/Jun/2022,June,"$6,013 ",21
Gigi Bohling,Canada,Baker's Choco Chips,28/Jan/2022,January,"$1,505 ",47
Kelci Walkden,India,Caramel Stuffed Bars,16/Mar/2022,March,$476 ,125
Rafaelita Blaksland,Australia,Drinking Coco,21/Feb/2022,February,"$11,550 ",396
Kelci Walkden,USA,Manuka Honey Choco,16/Feb/2022,February,"$17,318 ",87
Jehu Rudeforth,Canada,Spicy Special Slims,13/Jan/2022,January,"$1,848 ",27
Kelci Walkden,Australia,Eclairs,23/Mar/2022,March,"$7,273 ",547
Curtice Advani,Canada,Spicy Special Slims,16/Jun/2022,June,$854 ,118
Oby Sorrel,India,Raspberry Choco,14/Apr/2022,April,"$6,832 ",46
Kelci Walkden,UK,Eclairs,25/Jan/2022,January,"$4,606 ",57
Jan Morforth,India,Almond Choco,03/Nov/2022,November,"$4,466 ",22
Dotty Strutley,UK,Almond Choco,28/Jul/2022,July,"$16,114 ",96
Marney O'Breen,New Zealand,After Nines,03/Sep/2022,September,"$1,561 ",44
Husein Augar,Australia,Orange Choco,28/Jun/2022,June,"$8,897 ",188
Marney O'Breen,Australia,Milk Bars,28/Jul/2022,July,"$2,464 ",387
Kelci Walkden,Canada,99% Dark & Pure,15/Aug/2022,August,"$4,830 ",50
Kaine Padly,Australia,Manuka Honey Choco,01/Dec/2022,December,"$2,765 ",264
Beverie Moffet,New Zealand,White Choc,24/Mar/2022,March,"$7,126 ",7
Van Tuxwell,UK,Milk Bars,25/Jul/2022,July,"$4,263 ",90
Oby Sorrel,Canada,99% Dark & Pure,08/Jan/2022,January,"$3,605 ",403
Van Tuxwell,India,Organic Choco Syrup,16/May/2022,May,"$19,929 ",174
Roddy Speechley,India,Smooth Sliky Salty,08/Oct/2022,October,"$5,103 ",140
Jan Morforth,India,Eclairs,01/May/2022,May,"$2,541 ",27
Ches Bonnell,UK,Smooth Sliky Salty,07/Nov/2022,November,"$5,663 ",110
Wilone O'Kielt,USA,After Nines,25/Apr/2022,April,$392 ,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,04/Apr/2022,April,"$10,976 ",121
Barr Faughny,USA,Raspberry Choco,04/Dec/2022,December,"$9,282 ",101
Wilone O'Kielt,New Zealand,85% Dark Bars,08/Feb/2022,February,"$1,827 ",117
Gigi Bohling,New Zealand,Manuka Honey Choco,28/Jun/2022,June,"$8,267 ",272
Ches Bonnell,Australia,Eclairs,07/May/2022,May,"$4,116 ",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,06/Jul/2022,July,"$2,093 ",45
Brien Boise,New Zealand,Smooth Sliky Salty,18/Jan/2022,January,"$1,015 ",27
Brien Boise,Australia,Baker's Choco Chips,01/Apr/2022,April,"$12,516 ",212
Dennison Crosswaite,Australia,99% Dark & Pure,31/Jan/2022,January,"$2,758 ",18
Kelci Walkden,India,Almond Choco,14/Mar/2022,March,"$3,297 ",149
Camilla Castle,Australia,70% Dark Bites,29/Apr/2022,April,"$6,048 ",477
Oby Sorrel,India,Smooth Sliky Salty,02/Jul/2022,July,"$10,101 ",108
Kaine Padly,UK,Organic Choco Syrup,31/Mar/2022,March,"$2,282 ",178
Marney O'Breen,India,Caramel Stuffed Bars,16/Mar/2022,March,"$4,361 ",81
Karlen McCaffrey,UK,Eclairs,25/Jan/2022,January,"$7,798 ",196
Van Tuxwell,India,Baker's Choco Chips,20/Jun/2022,June,"$3,052 ",447
Gigi Bohling,UK,After Nines,29/Mar/2022,March,"$8,029 ",175
Curtice Advani,Australia,Orange Choco,07/Dec/2022,December,$854 ,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,07/Nov/2022,November,"$5,460 ",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/Jan/2022,January,"$3,017 ",184
Andria Kimpton,USA,85% Dark Bars,04/May/2022,May,"$8,911 ",82
Jehu Rudeforth,Canada,Milk Bars,21/Feb/2022,February,"$7,203 ",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/May/2022,May,"$13,083 ",14
Mallorie Waber,Australia,Milk Bars,29/Jul/2022,July,"$2,779 ",104
Barr Faughny,USA,Fruit & Nut Bars,28/Jan/2022,January,"$9,058 ",46
Marney O'Breen,UK,Caramel Stuffed Bars,19/Jul/2022,July,"$3,549 ",112
Mallorie Waber,New Zealand,Manuka Honey Choco,13/Apr/2022,April,"$9,436 ",11
Roddy Speechley,India,Peanut Butter Cubes,02/Nov/2022,November,"$10,283 ",21
Roddy Speechley,New Zealand,Milk Bars,03/Feb/2022,February,"$5,446 ",116
Ches Bonnell,Australia,White Choc,03/Feb/2022,February,"$1,043 ",202
Van Tuxwell,USA,99% Dark & Pure,28/Jul/2022,July,"$12,586 ",6
Kelci Walkden,India,After Nines,01/Jul/2022,July,"$1,687 ",520
Brien Boise,UK,White Choc,04/Dec/2022,December,"$5,299 ",167
Van Tuxwell,Canada,Almond Choco,27/Jun/2022,June,"$3,213 ",72
Jehu Rudeforth,Australia,50% Dark Bites,14/Jan/2022,January,"$5,194 ",418
Karlen McCaffrey,UK,Baker's Choco Chips,02/Jul/2022,July,"$4,753 ",389
Jehu Rudeforth,Australia,Orange Choco,23/Mar/2022,March,"$13,706 ",26
Marney O'Breen,India,Peanut Butter Cubes,01/Oct/2022,October,"$6,489 ",146
Oby Sorrel,UK,Choco Coated Almonds,17/Mar/2022,March,"$9,324 ",41
Gigi Bohling,USA,Spicy Special Slims,21/Jan/2022,January,"$10,829 ",54
Barr Faughny,Australia,White Choc,07/Apr/2022,April,"$8,113 ",370
Kaine Padly,Canada,Peanut Butter Cubes,07/Apr/2022,April,"$3,269 ",176
Dotty Strutley,USA,Manuka Honey Choco,08/Oct/2022,October,$273 ,210
Dennison Crosswaite,Australia,50% Dark Bites,04/Jan/2022,January,"$7,287 ",12
Gigi Bohling,India,Raspberry Choco,22/Feb/2022,February,"$2,583 ",159
Camilla Castle,UK,White Choc,01/Mar/2022,March,"$9,982 ",187
Karlen McCaffrey,India,Drinking Coco,31/May/2022,May,"$4,795 ",233
Dotty Strutley,UK,99% Dark & Pure,01/Mar/2022,March,"$9,310 ",282
Husein Augar,New Zealand,Caramel Stuffed Bars,27/Jan/2022,January,$497 ,475
Barr Faughny,UK,50% Dark Bites,28/Jan/2022,January,$581 ,65
Curtice Advani,Australia,Organic Choco Syrup,28/Jun/2022,June,"$3,472 ",311
Husein Augar,UK,Choco Coated Almonds,03/Feb/2022,February,"$4,333 ",43
Wilone O'Kielt,Australia,After Nines,27/May/2022,May,"$3,325 ",26
Dennison Crosswaite,USA,Almond Choco,30/Jun/2022,June,"$11,718 ",84
Barr Faughny,Canada,Peanut Butter Cubes,06/Jul/2022,July,"$2,100 ",78
Kaine Padly,USA,70% Dark Bites,05/Dec/2022,December,"$4,018 ",100
Barr Faughny,New Zealand,Raspberry Choco,29/Jul/2022,July,"$6,468 ",66
Dennison Crosswaite,UK,White Choc,08/Mar/2022,March,"$7,238 ",265
Barr Faughny,India,Baker's Choco Chips,18/Aug/2022,August,"$6,454 ",141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14/Jun/2022,June,"$3,115 ",42
Beverie Moffet,UK,White Choc,30/Jun/2022,June,"$6,475 ",76
Camilla Castle,New Zealand,Mint Chip Choco,13/Jun/2022,June,"$1,162 ",190
Ches Bonnell,UK,Orange Choco,27/Apr/2022,April,"$14,238 ",54
Jan Morforth,Australia,White Choc,27/Jul/2022,July,"$3,472 ",32
Mallorie Waber,Canada,85% Dark Bars,20/Apr/2022,April,"$1,428 ",424
Rafaelita Blaksland,India,Spicy Special Slims,01/Apr/2022,April,"$8,064 ",134
Ches Bonnell,Australia,Mint Chip Choco,21/Feb/2022,February,"$9,660 ",92
Karlen McCaffrey,Australia,White Choc,01/May/2022,May,"$7,357 ",48
Beverie Moffet,India,Drinking Coco,15/Jul/2022,July,"$6,055 ",46
Brien Boise,Australia,Choco Coated Almonds,25/May/2022,May,"$5,124 ",62
Karlen McCaffrey,Canada,Eclairs,20/Apr/2022,April,"$3,479 ",358
Gigi Bohling,USA,99% Dark & Pure,06/Feb/2022,February,$784 ,249
Marney O'Breen,UK,Smooth Sliky Salty,13/May/2022,May,"$18,991 ",88
Beverie Moffet,New Zealand,Baker's Choco Chips,08/Mar/2022,March,"$1,372 ",144
Beverie Moffet,Australia,Milk Bars,25/May/2022,May,$735 ,390
Van Tuxwell,UK,Raspberry Choco,16/Mar/2022,March,"$6,538 ",79
Jan Morforth,Australia,Orange Choco,07/Apr/2022,April,"$3,199 ",122
Jehu Rudeforth,India,50% Dark Bites,07/May/2022,May,"$3,472 ",135
Madelene Upcott,USA,After Nines,15/Mar/2022,March,"$4,571 ",430
Barr Faughny,UK,Raspberry Choco,22/Aug/2022,August,"$5,481 ",69
Ches Bonnell,Australia,70% Dark Bites,01/Dec/2022,December,"$3,136 ",125
Marney O'Breen,UK,Baker's Choco Chips,06/Oct/2022,October,$252 ,154
Kaine Padly,Australia,Peanut Butter Cubes,25/Mar/2022,March,"$5,460 ",286
Rafaelita Blaksland,India,Almond Choco,27/Jul/2022,July,"$3,395 ",99
Husein Augar,UK,Caramel Stuffed Bars,15/Apr/2022,April,"$14,938 ",433
Roddy Speechley,India,Orange Choco,27/Jun/2022,June,"$4,053 ",19
Jehu Rudeforth,UK,70% Dark Bites,14/Apr/2022,April,"$5,565 ",258
